Ref,TempExp,TempExpNum,Pop,Tpop,Predpop,Mortality,InWeight,OutWeight,Deg_Weight,MeanPopT_Deg_Weight,Deg_Pourc,Deg_PourcPT,DecompRate,MeanPopT_DecompRate,DecompRateCorr,MeanPopT_DecompRateCorr,DecompRatePerDCorr,MeanPopT_DecompRatePerDCorr,DecompRatePerDPerAzCorr,MeanPopT_DecompRatePerDPerAzCorr,MeanMassPop,MeanSizePop,MeanSlopePopPTDec,MeanSlopePopPTDecPos
T27b_C_aa,T27,27,C,C,C,NA,1.02,0.83,0.19,0.173333333,"186,274,509,803,922",NA,"186,274,509,803,922","167,451,705,601,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T27b_C_bb,T27,27,C,C,C,NA,1,0.88,0.12,0.173333333,12,NA,12,"167,451,705,601,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T27c_C_cc,T27,27,C,C,C,NA,1.02,0.9,0.12,0.173333333,"117,647,058,823,529",NA,"117,647,058,823,529","167,451,705,601,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T27c_C_dd,T27,27,C,C,C,NA,1.03,0.86,0.17,0.173333333,"16,504,854,368,932",NA,"16,504,854,368,932","167,451,705,601,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T27d_C_ee,T27,27,C,C,C,NA,1,0.82,0.18,0.173333333,18,NA,18,"167,451,705,601,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T27d_C_ff,T27,27,C,C,C,NA,1.05,0.8,0.25,0.173333333,"238,095,238,095,238",NA,"238,095,238,095,238","167,451,705,601,334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05b_C11,T05,5,C1,Ambiant,Pred,2,1.04,0.82,0.22,0.196666667,"211,538,461,538,462","189,662,683,594,723","211,538,461,538,462","189,662,683,594,723","114,389,871,538,462","925,140,935,947,225",0.672881597,0.544200551,0.06728816,0.054420055,"2,206,536","1,486",-0.003994264,0.003994264
T05c_C12,T05,5,C1,Ambiant,Pred,2,1.03,0.85,0.18,0.196666667,"174,757,281,553,398",NA,"174,757,281,553,398","189,662,683,594,723","776,086,915,533,981","925,140,935,947,225",0.456521715,0.544200551,0.045652172,0.054420055,"2,206,536","1,486",-0.003994264,0.003994264
T05d_C13,T05,5,C1,Ambiant,Pred,3,1.04,0.85,0.19,0.196666667,"182,692,307,692,308",NA,"182,692,307,692,308","189,662,683,594,723","855,437,176,923,077","925,140,935,947,225",0.503198339,0.544200551,0.050319834,0.054420055,"2,206,536","1,486",-0.003994264,0.003994264
T15b_C11,T15,15,C1,Ambiant,Pred,2,1.04,0.73,0.31,0.296666667,"298,076,923,076,923","286,574,865,759,435","298,076,923,076,923","286,574,865,759,435","200,928,333,076,923","189,426,275,759,435","118,193,137,104,072","111,427,221,034,962",0.118193137,0.111427221,"2,206,536","1,486",-0.007055621,0.007055621
