"Ref","ID_photo","Reader","Round","PopInd","Pop","TempExp","TempExpNum","Tpop","Predpop","Survival","Naivety","Remarks","Length","EvolHistory"
"T05_D7_Az8_D2","IMG_0373",715,1,"D7_Az8","D7","T05",5,"Warm","Ctrl","Yes","Naive","None",0.145,"Ctrl_Warm"
"T05_D7_Az9_B5","IMG_0344",715,1,"D7_Az9","D7","T05",5,"Warm","Ctrl","Yes","Naive","None",0.121,"Ctrl_Warm"
"T10_A1_Az11_A3","IMG_0222",715,1,"A1_Az11","A1","T10",10,"Ambiant","Ctrl","Yes","None","None",0.09,"Ctrl_Ambiant"
"T10_A1_Az16_C5","IMG_0211",715,1,"A1_Az16","A1","T10",10,"Ambiant","Ctrl","Yes","None","None",0.117,"Ctrl_Ambiant"
"T10_A1_Az1_B1","IMG_0306",727,1,"A1_Az1","A1","T10",10,"Ambiant","Ctrl","Yes","None","None",0.091,"Ctrl_Ambiant"
"T10_B1_Az3_C2","IMG_0298",727,1,"B1_Az3","B1","T10",10,"Warm","Ctrl","Yes","None","None",0.136,"Ctrl_Warm"
"T10_B2_Az5_D3","IMG_0230",715,1,"B2_Az5","B2","T10",10,"Ambiant","Ctrl","Yes","None","None",0.082,"Ctrl_Ambiant"
"T10_B2_Az18_D4","IMG_0279",727,1,"B2_Az18","B2","T10",10,"Ambiant","Ctrl","Yes","None","None",0.1,"Ctrl_Ambiant"
"T10_B4_Az12_C1","IMG_0247",715,1,"B4_Az12","B4","T10",10,"Ambiant","Pred","Yes","None","None",0.107,"Pred_Ambiant"
"T10_B4_Az11_C3","IMG_0228",715,1,"B4_Az11","B4","T10",10,"Ambiant","Pred","Yes","None","None",0.12,"Pred_Ambiant"
"T10_B4_Az4_D3","IMG_0288",727,1,"B4_Az4","B4","T10",10,"Ambiant","Pred","Yes","None","None",0.091,"Pred_Ambiant"
"T10_B5_Az18_A5","IMG_0207",715,1,"B5_Az18","B5","T10",10,"Warm","Pred","Yes","None","None",0.114,"Pred_Warm"
"T10_B5_Az3_B3","IMG_0284",727,1,"B5_Az3","B5","T10",10,"Warm","Pred","Yes","None","None",0.114,"Pred_Warm"
"T10_B6_Az18_A6","IMG_0198",715,1,"B6_Az18","B6","T10",10,"Ambiant","Pred","Yes","None","None",0.108,"Pred_Ambiant"
"T10_B6_Az1_D6","IMG_0258",727,1,"B6_Az1","B6","T10",10,"Ambiant","Pred","Yes","None","None",0.115,"Pred_Ambiant"
"T10_B7_Az13_B5","IMG_0209",715,1,"B7_Az13","B7","T10",10,"Warm","Pred","Yes","None","None",0.119,"Pred_Warm"
"T10_B9_Az17_B1","IMG_0245",715,1,"B9_Az17","B9","T10",10,"Warm","Pred","Yes","None","None",0.093,"Pred_Warm"
"T10_B9_Az9_D4","IMG_0220",715,1,"B9_Az9","B9","T10",10,"Warm","Pred","Yes","None","None",0.114,"Pred_Warm"
"T10_B9_Az16_B6","IMG_0254",727,1,"B9_Az16","B9","T10",10,"Warm","Pred","Yes","None","None",0.089,"Pred_Warm"
"T10_C1_Az15_A4","IMG_0214",715,1,"C1_Az15","C1","T10",10,"Ambiant","Pred","Yes","None","None",0.104,"Pred_Ambiant"
"T10_C1_Az1_A2","IMG_0290",727,1,"C1_Az1","C1","T10",10,"Ambiant","Pred","Yes","None","None",0.136,"Pred_Ambiant"
"T10_C1_Az18_A5","IMG_0261",727,1,"C1_Az18","C1","T10",10,"Ambiant","Pred","Yes","None","None",0.121,"Pred_Ambiant"
"T10_C3_Az6_B2","IMG_0296",727,1,"C3_Az6","C3","T10",10,"Ambiant","Pred","Yes","None","None",0.105,"Pred_Ambiant"
"T10_C3_Az9_C4","IMG_0277",727,1,"C3_Az9","C3","T10",10,"Ambiant","Pred","Yes","None","None",0.143,"Pred_Ambiant"
"T10_C3_Az2_C6","IMG_0255",727,1,"C3_Az2","C3","T10",10,"Ambiant","Pred","Yes","None","None",0.107,"Pred_Ambiant"
"T10_C5_Az1_D2","IMG_0302",727,1,"C5_Az1","C5","T10",10,"Ambiant","Ctrl","Yes","None","None",0.09,"Ctrl_Ambiant"
"T10_C5_Az16_B5","IMG_0264",727,1,"C5_Az16","C5","T10",10,"Ambiant","Ctrl","Yes","None","None",0.104,"Ctrl_Ambiant"
"T10_C8_Az7_B3","IMG_0224",715,1,"C8_Az7","C8","T10",10,"Warm","Pred","Yes","None","None",0.103,"Pred_Warm"
"T10_C8_Az14_C5","IMG_0265",727,1,"C8_Az14","C8","T10",10,"Warm","Pred","Yes","None","None",0.141,"Pred_Warm"
"T10_C9_Az1_D2","IMG_0239",715,1,"C9_Az1","C9","T10",10,"Ambiant","Pred","Yes","None","None",0.093,"Pred_Ambiant"
"T10_C9_Az10_B4","IMG_0272",727,1,"C9_Az10","C9","T10",10,"Ambiant","Pred","Yes","None","None",0.107,"Pred_Ambiant"
"T10_D6_Az14_D1","IMG_0250",715,1,"D6_Az14","D6","T10",10,"Ambiant","Ctrl","Yes","None","None",0.131,"Ctrl_Ambiant"
"T10_D6_Az4_B2","IMG_0236",715,1,"D6_Az4","D6","T10",10,"Ambiant","Ctrl","Yes","None","None",0.096,"Ctrl_Ambiant"
"T10_D6_Az17_A3","IMG_0281",727,1,"D6_Az17","D6","T10",10,"Ambiant","Ctrl","Yes","None","None",0.145,"Ctrl_Ambiant"
"T10_D7_Az10_A2","IMG_0233",715,1,"D7_Az10","D7","T10",10,"Warm","Ctrl","Yes","None","None",0.128,"Ctrl_Warm"
"T10_D7_Az17_C4","IMG_0216",715,1,"D7_Az17","D7","T10",10,"Warm","Ctrl","Yes","None","None",0.13,"Ctrl_Warm"
"T10_D7_Az20_A4","IMG_0268",727,1,"D7_Az20","D7","T10",10,"Warm","Ctrl","Yes","None","None",0.125,"Ctrl_Warm"
